OM643864	SAMN25848123
ON079046	SAMN26981451
OM921800	SAMN26451226
OM393062	SAMN25262198
OM674114	SAMN25896835
OM889271	SAMN26351863
OM271265	SAMN24971612
OM271532	SAMN24971524
OM412348	SAMN25267117
OM407721	SAMN25265354
OM430045	SAMN25347769
OM873741	SAMN26325589
OM364786	SAMN25222020
OV881850	SAMEA12938161
OM280906	SAMN25038286
OM228977	SAMN24697913
OM229131	SAMN24697993
OM229143	SAMN24698152
OM229269	SAMN24697890
OM229298	SAMN24698125
OM229308	SAMN24697989
OM229484	SAMN24697996
OM294756	SAMN25044879
OM294546	SAMN25026736
OM295435	SAMN25044848
OM402904	SAMN25004619
OV881148	SAMEA12937459
OM264080	SAMN24900647
ON643192	SAMN28795550
ON643193	SAMN28795551
ON150207	SAMN27187016
OW185138	SAMEA13469455
ON647842	SAMN28782256
OM411000	SAMN25266863
ON648485	SAMN28782151
ON648345	SAMN28781755
ON648318	SAMN28781879
ON647870	SAMN28782104
ON648581	SAMN28781961
ON648067	SAMN28782247
ON647784	SAMN28782411
ON648200	SAMN28781797
ON648420	SAMN28781955
ON647843	SAMN28782053
ON648406	SAMN28781959
ON648419	SAMN28782068
ON648603	SAMN28781975
ON648653	SAMN28782100
ON650202	SAMN28814117
ON650334	SAMN28813977
ON650424	SAMN28814004
ON650384	SAMN28814122
ON650407	SAMN28813964
OM497871	SAMN25530416
OM789985	SAMN26143891
OM270956	SAMN24972183
OM254734	SAMN24910474
OM289017	SAMN25063795
ON173344	SAMN27389504
ON169742	SAMN27388388
ON169743	SAMN27388389
OW676833	SAMEA13681763
